country,Purchasing Power Value,Safety Value,Health Care Value,Climate Value,Cost of Living Value,Property Price to Income Value,Traffic Commute Time Value,Pollution Value
Micronesia,14.28,55.87,53.47,0,56.24,14.77,17.17,71.26
Moldova,47.77,55.52,52.12,76.91,31.44,12.92,27.75,61.33
Monaco,88.24,76.38,75,0,137.37,39.84,22.5,78.2
Mongolia,31.73,47.53,51.63,-3.54,30.68,16.08,31.42,87.82
Montenegro,57.92,64.59,41.05,89.02,37.37,12.92,16.89,43.7
Montserrat,0,93.38,0,0,0,0,0,0
Morocco,42.23,52.34,46.87,86.09,27.76,13.42,35.16,68.66
Mozambique,18.54,38.05,41.15,0,39.14,50.55,30,71.57
Myanmar,19.87,49.14,48.6,0,35.88,17.19,49.09,89.79
Namibia,68.25,36.45,65.07,0,30.18,3.55,26.18,40.72
Nauru,0,49.05,0,0,0,0,0,101.72
Nepal,28.36,63.5,57.7,92.64,23.48,33.09,33.45,83.87
Netherlands,134.19,73.36,79.47,87.42,61.41,7.63,23.14,21.14
New Caledonia,99.69,36.91,54.17,0,73.43,8.43,32.5,59.31
New Zealand,123.9,51.87,68.61,95.46,59.36,8.63,32.56,26
Nicaragua,25.14,49.25,61.57,0,31.13,18.98,53.83,60.78
Niger,7.04,33.38,30.56,0,132.99,"'2,746.00'",20,63.79
Nigeria,11.37,33.51,48.17,60.75,27.29,25.59,65.31,87.91
Niue,0,0,0,0,0,0,0,46.55
North Korea,18.89,46.53,34.13,0,33.59,30.31,16.65,72.41
North Macedonia,59.26,59.17,55.12,76.3,30.57,12.24,24.91,79.59
Northern Mariana Islands,0,64.03,44.44,0,0,36.43,0,33.33
Norway,122.3,67.05,75.65,68.5,71.27,8.38,26.67,18.32
Oman,160.38,81.94,65.11,67.22,39.3,2.81,20.54,34.71
Pakistan,30.57,56.31,59.38,71.93,17.9,14.3,38.01,73.31
Palau,0,73.24,0,0,0,23.2,0,14.37
Palestine,49.62,57.24,52.36,0,38.29,6.71,48.5,65.03
Panama,44.91,57.32,60.66,67.84,43.83,11.68,35.24,55.63
Papua New Guinea,13.71,19.89,23.86,0,69.3,450.4,44.56,78.81
Paraguay,41.24,39.84,64.52,92.24,23.19,15.68,42.83,66.16
Peru,39.16,32.77,56.28,97.69,29.43,18.58,49.78,82.19
Philippines,37.95,56.92,67.2,61.23,28.77,22.2,41.29,72.38
Poland,93.75,70.99,57.92,75.9,39.35,11.03,31.79,55.51
Portugal,62.54,68.17,72.42,97.31,41.72,13.97,28.65,28.8
Puerto Rico,112.17,38.52,58.5,0,59.23,4.21,33.69,47.86
Qatar,184.27,84.05,73.45,36.03,48.27,5.06,29.01,60
Republic of the Congo,20.45,45.71,68.52,0,54.46,35.01,0,77.59
Reunion,96.1,53.09,71.3,0,52.71,7.95,0,32.67
Romania,73.36,67.82,56.51,77,34.66,10.16,33.36,58.61
Russia,55.66,61.3,61.41,43.6,25.25,14.84,43.35,59.13
Rwanda,20.5,72.81,72.87,99.74,37.05,446.83,15.67,39.22
Saint Helena,0,92.65,69.44,0,0,0,15,15.52
Saint Kitts And Nevis,0,59.98,50,0,0,20.27,15,36.21
Saint Lucia,0,39.08,49.9,0,0,0.85,7,46.22
Saint Vincent And The Grenadines,46.16,62.22,31.94,0,60.33,4.66,10,0
Saint-Pierre And Miquelon,0,100,0,0,0,0,0,55.17
Samoa,0,57.94,55.56,0,0,205.03,0,39.94
San Marino,0,80.65,83.33,0,0,5.34,10,15.36
Sao Tome And Principe,0,82.56,86.11,0,0,0,0,68.97
Saudi Arabia,147.37,76.23,61.71,45.98,42.06,3.09,29.87,62.46
Senegal,21.72,49.82,48.38,0,40.61,24.07,25,95.87
Serbia,58.05,62.75,51.96,83.23,36.18,16.78,30.72,65.62
Seychelles,34.19,55.01,63.19,0,59.88,4.66,29.33,36.71
Sierra Leone,0,42.9,31.25,0,0,3.23,0,106.03
Singapore,108.8,72.48,71.9,57.45,79.72,20.4,40.87,32.61
Sint Maarten,46.37,68.09,56.48,0,65.56,6.92,0,79.48
Slovakia,75.25,69.2,58.6,80.72,43.24,14.2,27.41,37.3
Slovenia,85.89,76.17,66.26,76.11,47.58,13.09,25.39,22.25
Solomon Islands,10.77,36.13,45.14,0,101.05,"'1,004.18'",36.67,79.55
Somalia,28.41,35.86,40.49,0,40.56,360.1,29,63.41
South Africa,123.08,25.36,63.83,95.25,31.3,3.21,38.61,56.56
South Korea,107.47,75.36,82.78,68.39,59.94,21.06,40.32,60.93
South Sudan,0,18.57,23.61,0,0,2.08,0,56.47
Spain,101.41,63.51,77.26,94.04,44.41,8.28,26.76,35.7
Sri Lanka,17.98,57.9,71.36,59.11,33.96,39.94,54.52,57.94
Sudan,0,54.5,46.78,0,0,24.64,38.33,67.55
Suriname,19.73,47.12,42.62,0,39.75,3.18,28.88,51.15
Sweden,134.51,51.74,68.43,76.49,54.84,7.45,28.72,17.66
Switzerland,165.31,73.69,71.5,79.24,101.18,10.94,33.28,23.06
Syria,5.22,31.5,37.11,0,23.8,118.65,34.9,74.88
Taiwan,101.65,82.89,86.5,84.38,44.79,20.89,32.81,64.31
Tajikistan,23.92,55.6,61.9,0,24.6,16.11,27,54.02
Tanzania,23.52,46.46,42.14,71.28,25.31,134.04,27.79,62.48
Thailand,46.07,62.49,77.36,69.76,33.88,25.31,38.71,75.65
Timor-Leste,259.09,57.93,52.69,0,45.57,4.13,25,60.35
Togo,50.92,54.84,54.17,0,31.91,7.42,7,82.5
Tonga,0,39.02,62.27,0,50.8,2.44,0,0
Trinidad And Tobago,45.35,29.01,54.09,67.55,49.01,14.18,56.88,67.14
Tunisia,33.55,55.23,57.17,93.24,25.71,13.06,34.39,70.08
Turkey,52.08,58.74,71.22,93.26,35.37,11.05,43.81,64.29
Turkmenistan,0,51.24,49.83,0,0,25.99,17.29,38.15
Turks And Caicos Islands,0,51.12,54.63,0,0,0,0,32.76
Tuvalu,0,81.52,100,0,0,0.55,0,0
Uganda,10.33,45.88,50.05,98.41,47.97,"'1,075.92'",44.5,84.05
Ukraine,47.67,53.13,55.74,70.69,24.38,13.88,37.92,62.16
United Arab Emirates,132.31,84.43,70.63,45.84,53.8,6.77,35.77,47.98
United Kingdom,125.05,51.88,72.92,87.41,59.67,8.75,34.74,40.47
United States,153.02,50.74,67.86,79.14,65.69,3.54,32.91,36.61
Uruguay,57.92,48.2,68.57,98.04,47.39,12.28,39.52,43.49
Us Virgin Islands,74.23,40.06,45.37,0,99.27,11.78,15,15.27
Uzbekistan,44.66,71.97,61.82,69.79,24.4,13.08,34.3,53.07
Vanuatu,0,58.35,40.51,0,0,29.88,15,40.14
Vatican City,0,46.18,100,0,0,0,0,46.32
Venezuela,15.11,19.26,38.69,0,35.85,17.49,32.8,75.3
Vietnam,44.49,59,61.32,71.24,26.85,24.77,29.62,84.19
Wallis And Futuna,0,0,0,0,0,0,0,0
Western Sahara,0,62.87,0,0,0,12.75,0,0
Yemen,20.74,34.07,25.31,0,48.66,15.98,15,83.17
Zambia,22.32,54.39,54.44,0,36.74,72.42,38.86,80.9
Zimbabwe,28.76,39.31,44.8,96.76,35.36,17.35,27.79,78.53
